Esfera,Tipo Esfera,Status de Funcionamento,Total
PRIVADA,Associação,Aberto,253
PRIVADA,Associação,Fechado,16
PRIVADA,Empresa,Aberto,76
PRIVADA,Empresa,Fechado,9
PRIVADA,Entidade Sindical,Aberto,3
PRIVADA,Entidade Sindical,Fechado,1
PRIVADA,Fundação,Aberto,96
PRIVADA,Fundação,Fechado,10
PRIVADA,Não informada,Aberto,564
PRIVADA,Não informada,Fechado,54
PRIVADA,Organização Religiosa,Aberto,83
PRIVADA,Organização Religiosa,Fechado,14
PÚBLICA,Estadual/Distrital,Aberto,571
PÚBLICA,Estadual/Distrital,Fechado,64
PÚBLICA,Federal,Aberto,389
PÚBLICA,Federal,Fechado,31
PÚBLICA,Municipal,Aberto,1379
PÚBLICA,Municipal,Fechado,165
